"year","month","month_num","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
2000,"February",2,0.593384615384615,0.757175824175824,5.24175824175824,-7.59147252747253,0.692307692307692,0.0650318681318681,0.121963631978022,0.206413368461538,0.200095604395604,0.527656043956044,123.811131868132,272906.67032967
2000,"March",3,0.604734693877551,0.772989795918367,5.6734693877551,-7.29271428571429,0.653061224489796,0.0703367346938776,0.11839303877551,0.14356925877551,0.197771428571429,0.541007142857143,127.261989795918,261585.928571429
2000,"April",4,0.612964912280702,0.776236842105263,5.60526315789474,-7.27948245614035,0.587719298245614,0.0598070175438596,0.119974650877193,0.158769477105263,0.184178947368421,0.553961403508772,125.340622807018,283195.640350877
2000,"May",5,0.609452991452991,0.768726495726496,5.53846153846154,-7.03705128205128,0.623931623931624,0.0570940170940171,0.121628731623932,0.151018014700855,0.217745299145299,0.56621452991453,128.841213675214,278200.034188034
2000,"June",6,0.613428571428571,0.765619047619048,4.91428571428571,-6.97237142857143,0.580952380952381,0.0637666666666667,0.131046885142857,0.163311487904762,0.20327619047619,0.553970476190476,125.500847619048,258908.304761905
2000,"July",7,0.627710526315789,0.758254385964912,4.78947368421053,-7.1085701754386,0.62280701754386,0.0639087719298246,0.127721560526316,0.180318574122807,0.197472807017544,0.544350877192982,125.105131578947,258446.833333333
2000,"August",8,0.632040816326531,0.775418367346939,5.02040816326531,-6.90383673469388,0.642857142857143,0.0646397959183673,0.0955620296938775,0.119244432653061,0.190641836734694,0.584045918367347,121.615734693878,256258.255102041
2000,"September",9,0.613747572815534,0.772815533980583,5.40776699029126,-7.36919417475728,0.611650485436893,0.0552844660194175,0.0733241073786408,0.191702817961165,0.197000970873786,0.564495145631068,124.218844660194,263958.757281553
2000,"October",10,0.64156,0.775032,5.448,-7.126264,0.656,0.06748,0.08679773416,0.18472833808,0.1785872,0.5985512,125.551648,259609.424
2000,"November",11,0.622372549019608,0.747529411764706,5.29411764705882,-7.20736274509804,0.696078431372549,0.0705235294117647,0.0867703421568627,0.153700927254902,0.179813725490196,0.572678431372549,126.224666666667,263285.284313725
2000,"December",12,0.63611,0.75347,5.48,-7.01932,0.72,0.068622,0.1147439717,0.1985070532,0.187151,0.526248,126.52337,268404.98
2001,"January",1,0.629278350515464,0.729814432989691,5.12371134020619,-7.24242268041237,0.628865979381443,0.0685020618556701,0.118813829896907,0.141178347113402,0.187014432989691,0.536298969072165,120.334577319588,255964.670103093
2001,"February",2,0.607969696969697,0.762727272727273,5.47474747474747,-6.99881818181818,0.666666666666667,0.065820202020202,0.119799163939394,0.206805846767677,0.172959595959596,0.529630303030303,119.361222222222,257517.090909091
2001,"March",3,0.612203883495146,0.757359223300971,5.87378640776699,-6.59407766990291,0.601941747572815,0.0675961165048544,0.109328192621359,0.138974137087379,0.176060194174757,0.543839805825243,118.163883495146,251906.737864078
2001,"April",4,0.614222222222222,0.778119047619048,5.8968253968254,-6.60343650793651,0.595238095238095,0.0762507936507937,0.11907448047619,0.156795507936508,0.207203174603175,0.565429365079365,122.267706349206,255238.285714286
2001,"May",5,0.592396226415094,0.781188679245283,5.07547169811321,-6.48164150943396,0.613207547169811,0.0707632075471698,0.118580189056604,0.139955224056604,0.200554716981132,0.540098113207547,121.702386792453,262891.367924528
2001,"June",6,0.606611111111111,0.766611111111111,5.39814814814815,-6.70555555555556,0.601851851851852,0.0739851851851852,0.10948014537037,0.167946290833333,0.189172222222222,0.575569444444444,124.333981481481,263416.657407407
2001,"July",7,0.597762711864407,0.764809322033898,5.17796610169492,-6.52219491525424,0.584745762711864,0.0773025423728814,0.123219098305085,0.141957448389831,0.187870338983051,0.579990677966102,122.913084745763,254628.271186441
2001,"August",8,0.614841121495327,0.77453738317757,5.7196261682243,-6.78035514018692,0.635514018691589,0.0751289719626168,0.102687651588785,0.171172579345794,0.203151401869159,0.573084112149533,123.061186915888,259348.85046729
2001,"September",9,0.610856,0.781148,4.96,-6.51136,0.672,0.077348,0.1026397828,0.19050014152,0.186196,0.582436,122.28064,268137.92
2001,"October",10,0.620699029126214,0.758572815533981,5.02912621359223,-6.4072427184466,0.689320388349515,0.0831446601941748,0.101821317475728,0.154284399805825,0.192119417475728,0.59898640776699,124.559048543689,271836.13592233
2001,"November",11,0.597827272727273,0.758827272727273,4.96363636363636,-6.41000909090909,0.718181818181818,0.0844445454545455,0.135593027272727,0.121650617636364,0.208822727272727,0.594492727272727,121.292745454545,256118.390909091
2001,"December",12,0.615377551020408,0.749183673469388,5.5,-6.47005102040816,0.642857142857143,0.0792989795918367,0.115631407142857,0.117917602857143,0.185764285714286,0.598316326530612,118.961275510204,267018.295918367
2002,"January",1,0.62327619047619,0.748860952380952,5.86666666666667,-6.82607619047619,0.657142857142857,0.0817704761904762,0.12536976952381,0.176024330190476,0.198582857142857,0.578187619047619,122.812552380952,274305.485714286
2002,"February",2,0.60761,0.742214,5.35,-6.78686,0.68,0.090466,0.151205855,0.1437795306,0.191741,0.550857,126.34094,261001.81
2002,"March",3,0.6123359375,0.7771171875,5.3203125,-6.616953125,0.625,0.087196875,0.1027167321875,0.160732145,0.18944609375,0.53753515625,124.679734375,274418.5
2002,"April",4,0.593637931034483,0.809431034482759,5.10344827586207,-6.28343965517241,0.629310344827586,0.0750094827586207,0.0756516131034483,0.174731429568966,0.213188793103448,0.563993103448276,123.376448275862,258865.775862069
2002,"May",5,0.593201923076923,0.796096153846154,5.33653846153846,-6.34909615384615,0.605769230769231,0.0656605769230769,0.0731622154807692,0.155188203365385,0.195426923076923,0.565865384615385,124.360076923077,260033.942307692
2002,"June",6,0.604848214285714,0.793151785714286,4.88392857142857,-6.12292857142857,0.651785714285714,0.0657258928571429,0.0875948032142857,0.120513730535714,0.191896428571429,0.539622321428571,126.216571428571,249821.491071429
2002,"July",7,0.576789423076923,0.788653846153846,4.91346153846154,-6.47385576923077,0.567307692307692,0.0684365384615385,0.0985466467307692,0.183061196153846,0.202533653846154,0.505330769230769,123.921442307692,259452.461538462
2002,"August",8,0.621901960784314,0.785313725490196,5.47058823529412,-6.27514705882353,0.598039215686274,0.0716137254901961,0.0960266157843137,0.128789083627451,0.203617647058824,0.54655,124.517205882353,255807.009803922
2002,"September",9,0.602219512195122,0.780691056910569,5.60975609756098,-6.53657723577236,0.658536585365854,0.069090243902439,0.0749349746341463,0.155571720243902,0.203346341463415,0.526689430894309,123.719300813008,258266.837398374
2002,"October",10,0.57909009009009,0.760555855855856,5.09009009009009,-6.39522522522523,0.72972972972973,0.0751576576576577,0.12519664990991,0.134728207657658,0.208282882882883,0.557336036036036,130.410099099099,249721.720720721
2002,"November",11,0.605212389380531,0.764227433628319,5.75221238938053,-6.42369026548673,0.68141592920354,0.0699469026548673,0.098138726460177,0.143064809380531,0.191966371681416,0.549533628318584,129.997539823009,251918.256637168
2002,"December",12,0.625726315789474,0.778838947368421,5.88421052631579,-6.24957894736842,0.663157894736842,0.078481052631579,0.089719492631579,0.168342465473684,0.199713684210526,0.568065263157895,130.269768421053,264847.052631579
2003,"January",1,0.597795180722892,0.788815662650602,5.83132530120482,-6.30521686746988,0.63855421686747,0.0799132530120482,0.102394558554217,0.140818481445783,0.190973493975904,0.576978313253012,129.544686746988,260990.43373494
2003,"February",2,0.572573033707865,0.76868202247191,5.38202247191011,-6.33089887640449,0.707865168539326,0.080723595505618,0.123908939438202,0.12084183,0.184889887640449,0.564913483146067,122.758831460674,266775.876404494
2003,"March",3,0.5738125,0.75475,5.41666666666667,-6.2973125,0.666666666666667,0.0749291666666667,0.1062087696875,0.108305240625,0.206614583333333,0.528376041666667,123.764104166667,274393.125
2003,"April",4,0.601222222222222,0.777533333333333,6.07777777777778,-6.12992222222222,0.522222222222222,0.0828211111111111,0.0990706885555555,0.156981609111111,0.2114,0.534533333333333,126.112644444444,263882.288888889
2003,"May",5,0.577762886597938,0.791752577319588,6.01030927835052,-6.02675257731959,0.474226804123711,0.0749103092783505,0.0964357124742268,0.127474035154639,0.201452577319588,0.531343298969072,125.627948453608,259490.24742268
2003,"June",6,0.566549180327869,0.79944262295082,5.4672131147541,-5.5977868852459,0.598360655737705,0.0868344262295082,0.0930972194262295,0.106584886311475,0.216653278688525,0.56158606557377,125.146639344262,238825.213114754
2003,"July",7,0.564710280373832,0.800242990654206,5.35514018691589,-5.7615046728972,0.607476635514019,0.0855392523364486,0.0871029719626168,0.105901240280374,0.200483177570093,0.552773831775701,127.809308411215,244207.028037383
2003,"August",8,0.570769230769231,0.810461538461538,5.16923076923077,-5.56992307692308,0.646153846153846,0.0830961538461538,0.0540834471538462,0.100483370538462,0.194339230769231,0.567876923076923,129.817953846154,242315.823076923
2003,"September",9,0.555837398373984,0.818569105691057,5.0650406504065,-5.58613821138211,0.658536585365854,0.0839813008130081,0.0705037018699187,0.0862409379674797,0.21119756097561,0.536279674796748,129.750406504065,243769.552845528
2003,"October",10,0.566552631578947,0.789,5.53508771929825,-5.79563157894737,0.587719298245614,0.0785149122807018,0.104657480964912,0.112222847368421,0.204933333333333,0.56816052631579,127.938096491228,239633.842105263
2003,"November",11,0.575338582677165,0.766503937007874,5.07086614173228,-6.13385039370079,0.653543307086614,0.0883173228346457,0.108475113464567,0.083262022992126,0.184817322834646,0.564834645669291,122.58874015748,236469.543307087
2003,"December",12,0.609670103092783,0.759453608247423,5.09278350515464,-6.09975257731959,0.608247422680412,0.101412371134021,0.129983054123711,0.110485990515464,0.178341237113402,0.534377319587629,115.813556701031,245132.597938144
2004,"January",1,0.592521739130435,0.723597826086957,5.65217391304348,-6.84097826086956,0.66304347826087,0.0804434782608696,0.153069212391304,0.100037478586957,0.170447826086957,0.525454347826087,118.174032608696,275115.641304348
2004,"February",2,0.575068965517241,0.750853448275862,5.5,-6.10983620689655,0.741379310344828,0.0843922413793103,0.1097756,0.115118473793103,0.201118103448276,0.501810344827586,121.984413793103,258907
